N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
20,2,p5,209,129,0.003659110516309738,0.3897953536361456,0.39345446415245533
20,2,p6,241,129,0.0036327634006738663,0.39066729694604874,0.3943000603467226
20,2,p7,82,129,0.0033925604075193405,0.38853008300065994,0.3919226434081793
24,0,p0,86,129,0.0016300864517688751,0.18241161853075027,0.18404170498251915
24,0,p1,64,129,0.0016030631959438324,0.18281427025794983,0.18441733345389366
24,0,p2,108,129,0.0016439557075500488,0.18315671011805534,0.1848006658256054
24,0,p3,153,129,0.0017132200300693512,0.18333235010504723,0.18504557013511658
24,0,p4,178,129,0.001760873943567276,0.18256676383316517,0.18432763777673244
24,0,p5,209,129,0.0017971675843000412,0.18236159346997738,0.18415876105427742
24,0,p6,241,129,0.0018363595008850098,0.18290971219539642,0.18474607169628143
24,0,p7,82,129,0.0016292836517095566,0.18312831595540047,0.18475759960711002
24,1,p0,86,129,0.0016311276704072952,0.18318792805075645,0.18481905572116375
24,1,p1,64,129,0.0016245357692241669,0.18334663473069668,0.18497117049992085
24,1,p2,108,129,0.0016607511788606644,0.1839306764304638,0.18559142760932446
24,1,p3,153,129,0.0017291046679019928,0.18406134098768234,0.18579044565558434
24,1,p4,178,129,0.0018453095108270645,0.18475869856774807,0.18660400807857513
24,1,p5,209,129,0.001805068925023079,0.18340141139924526,0.18520648032426834
24,1,p6,241,129,0.0018421690911054611,0.1836856584995985,0.18552782759070396
24,1,p7,82,129,0.0016581881791353226,0.18359734676778316,0.1852555349469185
24,2,p0,86,129,0.0016353204846382141,0.18348362669348717,0.18511894717812538
24,2,p1,64,129,0.001612156629562378,0.18379371985793114,0.18540587648749352
24,2,p2,108,129,0.0016522463411092758,0.18456407263875008,0.18621631897985935
24,2,p3,153,129,0.0017194673418998718,0.18420961871743202,0.1859290860593319
24,2,p4,178,129,0.001766769215464592,0.183701166883111,0.1854679360985756
24,2,p5,209,129,0.0018071327358484268,0.18304258957505226,0.1848497223109007
24,2,p6,241,129,0.0018574800342321396,0.18326803669333458,0.18512551672756672
24,2,p7,82,129,0.0016334298998117447,0.18363354355096817,0.18526697345077991
